SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500469,FEDERAL BANK,A ,Q,81.95,82.90,80.55,81.00,81.00,81.95,1432,565097,46086676.00,
500470,TATA STEEL  ,A ,Q,345.20,352.00,342.50,345.00,345.00,339.35,9247,931266,322927286.00,
500472,SKF INDIA   ,A ,Q,1871.70,1892.25,1868.75,1878.55,1878.65,1875.60,36,147,275986.00,
500477,ASHOK LEYL. ,A ,Q,62.90,63.55,62.30,63.10,63.10,62.60,3369,1327555,83733749.00,
500480,CUMMINS (I) ,A ,Q,563.85,569.00,560.00,566.30,565.70,564.15,365,3994,2260792.00,
500483,TATA COMM   ,A ,Q,439.00,442.80,425.25,427.30,426.00,426.10,735,16857,7247857.00,
500488,ABBOTT (I)  ,A ,Q,9550.95,9550.95,9420.00,9486.85,9529.30,9510.45,152,236,2236452.00,
500490,BAJ HOLD INV,A ,Q,3323.00,3326.00,3296.00,3319.45,3316.40,3299.75,63,231,766059.00,
500493,BHARAT FORGE,A ,Q,382.30,397.05,382.30,394.10,393.00,382.30,1142,54947,21537575.00,
500495,ESCORTS LTD.,A ,Q,460.00,473.20,460.00,470.85,470.85,458.30,2802,169469,79165476.00,
500500,HIND.MOTORS ,B ,Q,5.55,5.90,5.26,5.73,5.68,5.51,55,19308,110089.00,
500510,LARSEN & TOU,A ,Q,1315.00,1337.40,1309.00,1320.45,1320.45,1309.95,5005,108337,143173849.00,
500520,MAH & MAH   ,A ,Q,520.00,520.00,508.15,516.95,516.95,505.65,1608,68749,35418618.00,
500530,BOSCH LTD   ,A ,Q,13412.10,13649.80,13412.10,13590.90,13532.10,13399.00,132,263,3568091.00,
500540,PREMIER LTD ,T ,Q,2.62,2.79,2.62,2.79,2.79,2.75,5,2005,5337.00,
500547,BHARAT PET. ,A ,Q,363.90,386.00,361.00,381.50,381.50,363.50,7722,609837,230907042.00,
500550,SIEMENS LTD.,A ,Q,1167.05,1182.00,1164.50,1169.85,1169.85,1167.05,506,16931,19857946.00,
500570,TATA MOTORS ,A ,Q,110.00,119.20,109.50,118.05,118.05,109.50,21931,5909050,681239488.00,
500575,VOLTAS LTD  ,A ,Q,621.90,632.70,621.90,630.25,630.15,621.90,761,37379,23475460.00,
500620,GREAT EASTE ,A ,Q,243.00,244.00,238.00,242.05,243.00,243.30,169,2287,549332.00,
500645,DEEPAK FERT.,A ,Q,80.05,82.00,79.30,80.50,80.40,79.85,808,13303,1077701.00,
500650,EXCEL INDUST,B ,Q,839.00,839.00,811.00,823.15,822.40,821.50,130,829,685029.00,
500655,GARWARE POLY,X ,Q,234.90,234.90,226.50,228.60,226.50,231.45,85,2766,634169.00,
500660,GLAXOSMITH  ,A ,Q,1251.80,1258.00,1240.80,1249.85,1257.00,1249.90,382,2559,3204809.00,
500670,GUJ.NARMADA ,A ,Q,175.10,181.75,175.10,177.20,177.20,174.70,987,18194,3248857.00,
500672,NOVARTIS    ,B ,Q,574.70,590.00,570.00,586.30,584.00,570.20,476,8085,4721757.00,
